,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
183,1.26,2020-08-31,37.96,118,434,23.0,425.42857142857144,116.42857142857143,14.142857142857142,9.0,0.7142857142857135,0.8571428571428559
184,1.27,2020-09-01,37.96,115,417,15.0,425.14285714285717,117.57142857142857,14.142857142857142,-8.0,0.0,1.0
185,1.29,2020-09-02,37.96,119,415,14.0,425.2857142857143,118.85714285714286,15.571428571428571,-1.0,1.4285714285714288,3.1428571428571423
186,1.29,2020-09-03,37.96,114,403,16.0,425.2857142857143,119.57142857142857,15.285714285714286,2.0,-0.2857142857142847,2.7142857142857153
187,1.27,2020-09-04,37.96,118,415,12.0,428.7142857142857,121.42857142857143,14.428571428571429,-4.0,-0.8571428571428577,0.8571428571428577
188,1.29,2020-09-05,37.96,124,439,15.0,435.0,125.0,15.142857142857142,3.0,0.7142857142857135,2.1428571428571423
189,1.24,2020-09-06,37.96,129,454,12.0,445.0,127.42857142857143,15.285714285714286,-3.0,0.14285714285714413,1.8571428571428577
190,1.22,2020-09-07,37.96,131,458,17.0,457.57142857142856,130.57142857142858,15.0,5.0,-0.2857142857142865,0.8571428571428577
191,1.21,2020-09-08,37.96,140,461,20.0,467.85714285714283,132.14285714285714,16.142857142857142,3.0,1.1428571428571423,2.0
192,1.21,2020-09-09,37.96,136,485,15.0,478.7142857142857,133.0,16.142857142857142,-5.0,0.0,0.5714285714285712
193,1.16,2020-09-10,37.96,136,491,14.0,487.85714285714283,133.42857142857142,16.857142857142858,-1.0,0.7142857142857153,1.5714285714285712
194,1.08,2020-09-11,37.96,129,487,20.0,497.14285714285717,133.42857142857142,17.285714285714285,6.0,0.42857142857142705,2.857142857142856
195,1.1,2020-09-12,37.96,130,515,15.0,504.7142857142857,132.14285714285714,16.714285714285715,-5.0,-0.5714285714285694,1.571428571428573
196,1.15,2020-09-13,37.96,132,518,17.0,511.0,132.0,18.285714285714285,2.0,1.5714285714285694,2.9999999999999982
197,1.2,2020-09-14,37.96,131,523,20.0,521.8571428571429,132.57142857142858,18.714285714285715,3.0,0.4285714285714306,3.7142857142857153
198,1.23,2020-09-15,37.96,131,514,16.0,536.1428571428571,134.57142857142858,18.714285714285715,-4.0,0.0,2.571428571428573
199,1.25,2020-09-16,37.96,135,529,26.0,549.8571428571429,137.0,20.428571428571427,10.0,1.7142857142857117,4.285714285714285
200,1.25,2020-09-17,37.96,140,567,17.0,565.5714285714286,140.57142857142858,21.0,-9.0,0.571428571428573,4.142857142857142
201,1.14,2020-09-18,81.48,143,587,20.0,584.0,144.85714285714286,22.714285714285715,3.0,1.7142857142857153,5.428571428571431
202,1.04,2020-09-19,81.48,147,611,27.0,600.8571428571429,149.0,24.142857142857142,7.0,1.428571428571427,7.428571428571427
203,1.08,2020-09-20,81.48,157,628,21.0,620.7142857142857,151.14285714285714,24.0,-6.0,-0.14285714285714235,5.714285714285715
204,1.05,2020-09-21,81.48,161,652,32.0,634.2857142857143,152.28571428571428,26.0,11.0,2.0,7.285714285714285
205,1.0,2020-09-22,81.48,160,632,26.0,651.1428571428571,155.28571428571428,27.428571428571427,-6.0,1.428571428571427,8.714285714285712
206,0.93,2020-09-23,81.48,150,668,25.0,666.4285714285714,159.85714285714286,27.285714285714285,-1.0,-0.14285714285714235,6.857142857142858
207,0.93,2020-09-24,81.48,148,662,31.0,681.1428571428571,164.14285714285714,28.857142857142858,6.0,1.571428571428573,7.857142857142858
208,1.05,2020-09-25,85.19,164,705,30.0,696.1428571428571,167.57142857142858,28.285714285714285,-1.0,-0.571428571428573,5.571428571428569
209,1.04,2020-09-26,85.19,179,718,26.0,719.5714285714286,172.57142857142858,29.571428571428573,-4.0,1.2857142857142883,5.428571428571431
210,0.91,2020-09-27,85.19,187,731,32.0,741.2857142857143,179.42857142857142,31.285714285714285,6.0,1.7142857142857117,7.285714285714285
211,0.82,2020-09-28,85.19,185,757,28.0,762.7142857142857,184.28571428571428,33.42857142857143,-4.0,2.142857142857146,7.428571428571431
212,0.74,2020-09-29,85.19,195,796,35.0,783.1428571428571,188.42857142857142,32.714285714285715,7.0,-0.7142857142857153,5.285714285714288
213,0.71,2020-09-30,85.19,198,820,37.0,801.0,192.28571428571428,34.42857142857143,2.0,1.7142857142857153,7.142857142857146
214,0.7,2020-10-01,85.19,182,812,46.0,824.5714285714286,195.42857142857142,35.142857142857146,9.0,0.7142857142857153,6.285714285714288
215,0.68,2020-10-02,85.19,193,848,25.0,840.5714285714286,198.85714285714286,35.0,-21.0,-0.1428571428571459,6.714285714285715
216,0.66,2020-10-03,85.19,206,843,38.0,848.5714285714286,200.85714285714286,36.42857142857143,13.0,1.4285714285714306,6.857142857142858
217,0.65,2020-10-04,85.19,209,896,37.0,852.5714285714286,203.57142857142858,34.857142857142854,-1.0,-1.5714285714285765,3.5714285714285694
218,0.62,2020-10-05,85.19,209,869,27.0,856.5714285714286,208.71428571428572,35.0,-10.0,0.1428571428571459,1.5714285714285694
219,0.62,2020-10-06,85.19,209,852,45.0,854.2857142857143,212.28571428571428,37.142857142857146,18.0,2.142857142857146,4.428571428571431
220,0.61,2020-10-07,85.19,217,848,26.0,849.8571428571429,214.0,36.714285714285715,-19.0,-0.4285714285714306,2.2857142857142847
221,0.62,2020-10-08,85.19,218,840,47.0,837.5714285714286,215.0,38.0,21.0,1.2857142857142847,2.857142857142854
222,0.61,2020-10-09,85.19,218,832,40.0,827.8571428571429,215.28571428571428,38.42857142857143,-7.0,0.4285714285714306,3.4285714285714306
223,0.61,2020-10-10,85.19,218,812,35.0,815.2857142857143,217.42857142857142,37.42857142857143,-5.0,-1.0,1.0
224,0.62,2020-10-11,85.19,216,810,46.0,797.8571428571429,217.14285714285714,38.714285714285715,11.0,1.2857142857142847,3.857142857142861
225,0.64,2020-10-12,85.19,211,801,30.0,777.7142857142857,215.14285714285714,36.285714285714285,-16.0,-2.4285714285714306,1.2857142857142847
226,0.64,2020-10-13,85.19,224,764,38.0,753.0,215.14285714285714,35.714285714285715,8.0,-0.5714285714285694,-1.4285714285714306
227,0.64,2020-10-14,85.19,215,726,35.0,729.4285714285714,215.42857142857142,35.285714285714285,-3.0,-0.4285714285714306,-1.4285714285714306
228,0.66,2020-10-15,85.19,204,699,30.0,707.8571428571429,216.57142857142858,33.42857142857143,-5.0,-1.857142857142854,-4.571428571428569
229,0.67,2020-10-16,85.19,218,659,36.0,685.1428571428571,218.71428571428572,33.714285714285715,6.0,0.2857142857142847,-4.714285714285715
230,0.7,2020-10-17,85.19,220,647,32.0,665.4285714285714,219.0,31.142857142857142,-4.0,-2.571428571428573,-6.285714285714288
231,0.71,2020-10-18,85.19,224,659,33.0,648.1428571428571,220.28571428571428,29.714285714285715,1.0,-1.428571428571427,-9.0
232,0.71,2020-10-19,85.19,226,642,32.0,632.2857142857143,221.57142857142858,29.571428571428573,-1.0,-0.14285714285714235,-6.714285714285712
233,0.74,2020-10-20,85.19,226,626,20.0,618.1428571428571,220.0,28.142857142857142,-12.0,-1.4285714285714306,-7.571428571428573
234,0.75,2020-10-21,85.19,224,605,25.0,602.7142857142857,217.42857142857142,27.428571428571427,5.0,-0.7142857142857153,-7.857142857142858
235,0.81,2020-10-22,85.19,213,588,29.0,581.4285714285714,212.57142857142858,27.714285714285715,4.0,0.28571428571428825,-5.714285714285715
236,0.84,2020-10-23,85.19,207,560,26.0,560.1428571428571,208.71428571428572,27.142857142857142,-3.0,-0.571428571428573,-6.571428571428573
237,0.88,2020-10-24,85.19,202,539,27.0,538.7142857142857,203.71428571428572,28.285714285714285,1.0,1.1428571428571423,-2.8571428571428577
238,0.92,2020-10-25,85.19,190,510,35.0,518.4285714285714,198.57142857142858,26.142857142857142,8.0,-2.1428571428571423,-3.571428571428573
239,0.93,2020-10-26,85.19,199,493,28.0,498.14285714285717,194.57142857142858,24.714285714285715,-7.0,-1.428571428571427,-4.857142857142858
240,0.95,2020-10-27,85.19,191,476,28.0,479.2857142857143,191.14285714285714,22.714285714285715,0.0,-2.0,-5.428571428571427
241,0.95,2020-10-28,46.3,188,463,10.0,460.7142857142857,186.71428571428572,22.428571428571427,-18.0,-0.28571428571428825,-5.0
242,0.94,2020-10-29,40.74,185,446,19.0,444.42857142857144,183.42857142857142,20.142857142857142,9.0,-2.2857142857142847,-7.571428571428573
243,0.94,2020-10-30,40.74,183,428,12.0,430.85714285714283,179.14285714285714,18.285714285714285,-7.0,-1.8571428571428577,-8.857142857142858
244,0.92,2020-10-31,40.74,171,409,25.0,417.14285714285717,175.14285714285714,18.0,13.0,-0.2857142857142847,-10.285714285714285
245,0.94,2020-11-01,40.74,167,396,19.0,401.57142857142856,169.71428571428572,18.857142857142858,-6.0,0.8571428571428577,-7.285714285714285
246,1.01,2020-11-02,40.74,169,398,15.0,385.2857142857143,164.57142857142858,18.142857142857142,-4.0,-0.7142857142857153,-6.571428571428573
247,1.03,2020-11-03,40.74,163,380,26.0,369.57142857142856,157.71428571428572,18.714285714285715,11.0,0.571428571428573,-4.0
248,1.05,2020-11-04,65.74,150,354,16.0,357.57142857142856,153.57142857142858,16.285714285714285,-10.0,-2.4285714285714306,-6.142857142857142
249,1.06,2020-11-05,65.74,149,332,14.0,349.0,149.85714285714286,14.571428571428571,-2.0,-1.7142857142857135,-5.571428571428571
250,1.08,2020-11-06,65.74,135,318,16.0,339.57142857142856,145.14285714285714,13.285714285714286,2.0,-1.2857142857142847,-4.999999999999998
251,1.1,2020-11-07,65.74,142,325,8.0,329.14285714285717,140.57142857142858,11.0,-8.0,-2.2857142857142865,-7.0
252,1.08,2020-11-08,65.74,141,336,7.0,322.57142857142856,138.42857142857142,9.714285714285714,-1.0,-1.2857142857142865,-9.142857142857144
253,1.05,2020-11-09,65.74,136,332,6.0,318.2857142857143,135.57142857142858,9.428571428571429,-1.0,-0.2857142857142847,-8.714285714285714
254,1.04,2020-11-10,65.74,131,307,10.0,314.42857142857144,133.71428571428572,7.857142857142857,4.0,-1.571428571428572,-10.857142857142858
255,1.06,2020-11-11,65.74,135,308,7.0,309.57142857142856,130.85714285714286,8.428571428571429,-3.0,0.5714285714285721,-7.857142857142856
256,1.08,2020-11-12,65.74,129,302,12.0,305.42857142857144,128.28571428571428,8.714285714285714,5.0,0.2857142857142847,-5.857142857142858
257,1.08,2020-11-13,65.74,122,291,5.0,303.42857142857144,125.28571428571429,9.0,-7.0,0.2857142857142865,-4.2857142857142865
258,1.06,2020-11-14,65.74,122,291,12.0,305.0,124.14285714285714,9.285714285714286,7.0,0.2857142857142865,-1.7142857142857135
259,1.1,2020-11-15,65.74,123,307,9.0,306.0,122.28571428571429,9.285714285714286,-3.0,0.0,-0.42857142857142705
260,1.13,2020-11-16,65.74,115,318,8.0,308.7142857142857,121.0,8.714285714285714,-1.0,-0.571428571428573,-0.7142857142857153
261,1.15,2020-11-17,65.74,123,318,12.0,312.2857142857143,120.71428571428571,8.857142857142858,4.0,0.14285714285714413,1.0000000000000009
262,1.16,2020-11-18,65.74,122,315,7.0,315.0,119.71428571428571,8.857142857142858,-5.0,0.0,0.4285714285714288
263,1.17,2020-11-19,65.74,120,321,8.0,314.85714285714283,118.28571428571429,9.857142857142858,1.0,1.0,1.1428571428571441
264,1.18,2020-11-20,65.74,120,316,6.0,310.7142857142857,117.57142857142857,9.714285714285714,-2.0,-0.14285714285714413,0.7142857142857135
265,1.19,2020-11-21,65.74,115,310,12.0,305.42857142857144,115.42857142857143,8.857142857142858,6.0,-0.8571428571428559,-0.4285714285714288
266,1.21,2020-11-22,65.74,113,306,16.0,302.14285714285717,113.42857142857143,8.571428571428571,4.0,-0.2857142857142865,-0.7142857142857153
267,1.21,2020-11-23,65.74,110,289,7.0,296.2857142857143,111.71428571428571,8.714285714285714,-9.0,0.14285714285714235,0.0
268,1.22,2020-11-24,65.74,108,281,6.0,290.85714285714283,109.85714285714286,8.857142857142858,-1.0,0.14285714285714413,0.0
269,1.25,2020-11-25,65.74,108,292,5.0,284.57142857142856,107.57142857142857,8.428571428571429,-1.0,-0.4285714285714288,-0.4285714285714288
270,1.24,2020-11-26,65.74,108,280,9.0,280.14285714285717,105.0,7.571428571428571,4.0,-0.8571428571428577,-2.2857142857142865
271,1.24,2020-11-27,65.74,107,278,7.0,277.7142857142857,101.85714285714286,7.571428571428571,-2.0,0.0,-2.1428571428571423
272,1.25,2020-11-28,65.74,99,266,9.0,277.14285714285717,98.0,8.142857142857142,2.0,0.5714285714285712,-0.7142857142857153
273,1.21,2020-11-29,65.74,95,275,10.0,277.0,94.71428571428571,8.142857142857142,1.0,0.0,-0.4285714285714288
274,1.21,2020-11-30,65.74,88,272,7.0,281.0,91.14285714285714,8.285714285714286,-3.0,0.14285714285714413,-0.42857142857142705
275,1.19,2020-12-01,65.74,81,277,10.0,287.57142857142856,89.14285714285714,8.714285714285714,3.0,0.42857142857142705,-0.14285714285714413
276,1.19,2020-12-02,65.74,85,291,5.0,296.85714285714283,87.28571428571429,8.857142857142858,-5.0,0.14285714285714413,0.4285714285714288
277,1.18,2020-12-03,65.74,83,308,10.0,306.57142857142856,85.57142857142857,8.571428571428571,5.0,-0.2857142857142865,1.0
278,1.17,2020-12-04,65.74,93,324,10.0,315.57142857142856,85.0,8.571428571428571,0.0,0.0,1.0
279,1.22,2020-12-05,65.74,86,331,10.0,322.57142857142856,86.14285714285714,8.857142857142858,0.0,0.2857142857142865,0.7142857142857153
280,1.24,2020-12-06,65.74,83,343,8.0,327.0,86.85714285714286,10.142857142857142,-2.0,1.2857142857142847,2.0
281,1.24,2020-12-07,65.74,84,335,7.0,328.57142857142856,88.42857142857143,10.571428571428571,-1.0,0.4285714285714288,2.2857142857142847
282,1.25,2020-12-08,65.74,89,326,12.0,330.57142857142856,89.14285714285714,10.857142857142858,5.0,0.2857142857142865,2.142857142857144
283,1.25,2020-12-09,65.74,90,322,14.0,332.2857142857143,91.28571428571429,11.714285714285714,2.0,0.8571428571428559,2.857142857142856
284,1.29,2020-12-10,65.74,94,319,13.0,337.2857142857143,93.57142857142857,11.857142857142858,-1.0,0.14285714285714413,3.2857142857142865
285,1.31,2020-12-11,65.74,98,338,12.0,344.57142857142856,95.14285714285714,12.428571428571429,-1.0,0.5714285714285712,3.8571428571428577
286,1.3,2020-12-12,65.74,101,343,16.0,353.42857142857144,96.42857142857143,12.428571428571429,4.0,0.0,3.571428571428571
287,1.29,2020-12-13,65.74,99,378,9.0,365.0,98.0,12.428571428571429,-7.0,0.0,2.2857142857142865
288,1.27,2020-12-14,65.74,95,386,11.0,381.0,99.57142857142857,13.0,2.0,0.5714285714285712,2.428571428571429
289,1.27,2020-12-15,71.3,98,388,12.0,397.2857142857143,100.28571428571429,13.571428571428571,1.0,0.5714285714285712,2.7142857142857135
290,1.26,2020-12-16,71.3,101,403,14.0,415.0,101.85714285714286,14.0,2.0,0.4285714285714288,2.2857142857142865
291,1.22,2020-12-17,71.3,105,431,17.0,428.2857142857143,103.14285714285714,15.428571428571429,3.0,1.4285714285714288,3.571428571428571
292,1.23,2020-12-18,71.3,103,452,16.0,443.0,104.57142857142857,16.142857142857142,-1.0,0.7142857142857135,3.7142857142857135
293,1.21,2020-12-19,71.3,112,467,19.0,460.42857142857144,106.42857142857143,16.285714285714285,3.0,0.14285714285714235,3.857142857142856
294,1.22,2020-12-20,71.3,108,471,19.0,476.14285714285717,108.42857142857143,17.857142857142858,0.0,1.571428571428573,5.428571428571429
295,1.23,2020-12-21,71.3,105,489,16.0,490.42857142857144,111.0,17.571428571428573,-3.0,-0.2857142857142847,4.571428571428573
296,1.24,2020-12-22,74.07,111,510,13.0,505.42857142857144,115.71428571428571,18.142857142857142,-3.0,0.5714285714285694,4.571428571428571
297,1.25,2020-12-23,74.07,115,513,25.0,521.2857142857143,118.28571428571429,18.714285714285715,12.0,0.571428571428573,4.714285714285715
298,1.26,2020-12-24,74.07,123,531,15.0,541.8571428571429,124.0,19.0,-10.0,0.2857142857142847,3.571428571428571
299,1.27,2020-12-25,74.07,136,557,20.0,560.1428571428571,130.0,21.428571428571427,5.0,2.428571428571427,5.285714285714285
300,1.27,2020-12-26,74.07,130,578,23.0,578.5714285714286,136.71428571428572,23.285714285714285,3.0,1.8571428571428577,7.0
301,1.25,2020-12-27,82.41,148,615,21.0,599.8571428571429,142.71428571428572,22.0,-2.0,-1.2857142857142847,4.142857142857142
302,1.23,2020-12-28,82.41,147,617,33.0,624.8571428571429,149.14285714285714,25.0,12.0,3.0,7.428571428571427
303,1.22,2020-12-29,82.41,158,639,26.0,649.8571428571429,153.14285714285714,27.142857142857142,-7.0,2.1428571428571423,9.0
304,1.21,2020-12-30,82.41,157,662,16.0,674.0,159.85714285714286,27.714285714285715,-10.0,0.571428571428573,9.0
305,1.2,2020-12-31,82.41,168,706,36.0,701.0,165.85714285714286,28.428571428571427,20.0,0.7142857142857117,9.428571428571427
306,1.17,2021-01-01,82.41,164,732,35.0,731.4285714285714,173.28571428571428,29.0,-1.0,0.571428571428573,7.571428571428573
307,1.14,2021-01-02,82.41,177,747,27.0,765.4285714285714,181.28571428571428,28.714285714285715,-8.0,-0.2857142857142847,5.428571428571431
308,1.14,2021-01-03,82.41,190,804,26.0,802.7142857142857,190.0,32.714285714285715,-1.0,4.0,10.714285714285715
309,1.13,2021-01-04,82.41,199,830,37.0,834.8571428571429,197.57142857142858,34.42857142857143,11.0,1.7142857142857153,9.42857142857143
310,1.11,2021-01-05,82.41,214,877,24.0,865.8571428571429,205.42857142857142,36.0,-13.0,1.5714285714285694,8.857142857142858
311,1.09,2021-01-06,82.41,218,923,44.0,902.8571428571429,213.14285714285714,35.142857142857146,20.0,-0.8571428571428541,7.428571428571431
312,1.05,2021-01-07,85.19,221,931,48.0,942.5714285714286,220.14285714285714,37.714285714285715,4.0,2.5714285714285694,9.285714285714288
313,1.04,2021-01-08,85.19,219,949,46.0,979.4285714285714,228.71428571428572,36.57142857142857,-2.0,-1.142857142857146,7.571428571428569
314,1.02,2021-01-09,85.19,231,1006,21.0,1009.8571428571429,234.14285714285714,41.142857142857146,-25.0,4.5714285714285765,12.42857142857143
315,0.99,2021-01-10,85.19,239,1082,44.0,1035.7142857142858,240.28571428571428,43.0,23.0,1.857142857142854,10.285714285714285
316,0.96,2021-01-11,85.19,259,1088,29.0,1066.5714285714287,246.42857142857142,44.57142857142857,-15.0,1.5714285714285694,10.142857142857139
317,0.95,2021-01-12,85.19,252,1090,56.0,1098.857142857143,252.85714285714286,45.42857142857143,27.0,0.8571428571428612,9.42857142857143
318,0.9,2021-01-13,85.19,261,1104,57.0,1125.7142857142858,257.42857142857144,49.285714285714285,1.0,3.857142857142854,14.142857142857139
319,0.9,2021-01-14,85.19,264,1147,59.0,1142.142857142857,262.2857142857143,51.285714285714285,2.0,2.0,13.57142857142857
320,0.9,2021-01-15,85.19,264,1175,52.0,1156.4285714285713,264.2857142857143,53.857142857142854,-7.0,2.5714285714285694,17.285714285714285
321,0.91,2021-01-16,85.19,263,1194,48.0,1171.2857142857142,269.57142857142856,52.142857142857146,-4.0,-1.7142857142857082,11.0
322,0.92,2021-01-17,85.19,273,1197,58.0,1182.2857142857142,274.14285714285717,51.714285714285715,10.0,-0.4285714285714306,8.714285714285715
323,0.94,2021-01-18,85.19,273,1188,47.0,1186.0,280.14285714285717,50.285714285714285,-11.0,-1.4285714285714306,5.714285714285715
324,0.94,2021-01-19,85.19,289,1194,44.0,1184.857142857143,287.42857142857144,52.285714285714285,-3.0,2.0,6.857142857142854
325,0.95,2021-01-20,85.19,293,1181,54.0,1183.5714285714287,293.0,52.857142857142854,10.0,0.5714285714285694,3.5714285714285694
326,0.97,2021-01-21,85.19,306,1173,49.0,1182.5714285714287,300.14285714285717,55.857142857142854,-5.0,3.0,4.571428571428569
327,0.99,2021-01-22,85.19,315,1167,66.0,1183.857142857143,294.14285714285717,57.857142857142854,17.0,2.0,4.0
328,1.0,2021-01-23,85.19,302,1185,52.0,1184.5714285714287,296.0,59.142857142857146,-14.0,1.2857142857142918,7.0
329,1.0,2021-01-24,85.19,323,1190,79.0,1182.0,296.7142857142857,60.285714285714285,27.0,1.1428571428571388,8.57142857142857
330,1.0,2021-01-25,85.19,231,1197,61.0,1183.5714285714287,298.57142857142856,60.142857142857146,-18.0,-0.1428571428571388,9.857142857142861
331,1.0,2021-01-26,85.19,302,1199,53.0,1182.5714285714287,298.85714285714283,57.0,-8.0,-3.142857142857146,4.714285714285715
332,1.0,2021-01-27,85.19,298,1163,62.0,1177.857142857143,298.57142857142856,55.0,9.0,-2.0,2.142857142857146
333,0.99,2021-01-28,85.19,319,1184,48.0,1171.2857142857142,295.42857142857144,51.0,-14.0,-4.0,-4.857142857142854
334,0.97,2021-01-29,85.19,317,1160,44.0,1163.4285714285713,306.42857142857144,49.0,-4.0,-2.0,-8.857142857142854
335,0.94,2021-01-30,85.19,300,1152,38.0,1150.5714285714287,307.7142857142857,50.142857142857146,-6.0,1.142857142857146,-9.0
336,0.91,2021-01-31,87.04,301,1144,51.0,1146.4285714285713,311.0,49.42857142857143,13.0,-0.7142857142857153,-10.857142857142854
337,0.88,2021-02-01,87.04,308,1142,47.0,1136.5714285714287,312.0,49.57142857142857,-4.0,0.1428571428571388,-10.571428571428577
338,0.86,2021-02-02,87.04,311,1109,61.0,1131.7142857142858,314.2857142857143,48.0,14.0,-1.5714285714285694,-9.0
339,0.85,2021-02-03,87.04,321,1134,57.0,1128.5714285714287,317.7142857142857,50.142857142857146,-4.0,2.142857142857146,-4.857142857142854
340,0.85,2021-02-04,87.04,326,1115,49.0,1129.0,321.0,49.142857142857146,-8.0,-1.0,-1.857142857142854
341,0.82,2021-02-05,87.04,333,1126,33.0,1126.857142857143,320.7142857142857,46.714285714285715,-16.0,-2.4285714285714306,-2.2857142857142847
342,0.82,2021-02-06,87.04,324,1130,53.0,1121.2857142857142,320.0,44.0,20.0,-2.7142857142857153,-6.142857142857146
343,0.81,2021-02-07,64.81,324,1147,44.0,1109.142857142857,317.85714285714283,40.57142857142857,-9.0,-3.4285714285714306,-8.857142857142861
344,0.8,2021-02-08,64.81,306,1127,30.0,1094.7142857142858,315.42857142857144,38.0,-14.0,-2.5714285714285694,-11.57142857142857
345,0.82,2021-02-09,64.81,306,1070,42.0,1072.857142857143,310.7142857142857,39.0,12.0,1.0,-9.0
346,0.81,2021-02-10,64.81,306,1049,33.0,1051.7142857142858,307.7142857142857,35.57142857142857,-9.0,-3.4285714285714306,-14.571428571428577
347,0.83,2021-02-11,62.96,309,1014,31.0,1034.0,304.7142857142857,34.57142857142857,-2.0,-1.0,-14.571428571428577
348,0.87,2021-02-12,62.96,300,973,40.0,1017.7142857142857,302.2857142857143,32.57142857142857,9.0,-2.0,-14.142857142857146
349,0.9,2021-02-13,62.96,303,982,29.0,1001.8571428571429,299.42857142857144,32.714285714285715,-11.0,0.1428571428571459,-11.285714285714285
350,0.94,2021-02-14,62.96,303,1023,37.0,990.7142857142857,298.7142857142857,31.857142857142858,8.0,-0.8571428571428577,-8.714285714285712
351,0.97,2021-02-15,62.96,289,1013,16.0,979.2857142857143,295.57142857142856,32.285714285714285,-21.0,0.42857142857142705,-5.714285714285715
352,0.98,2021-02-16,62.96,286,959,43.0,966.8571428571429,294.14285714285717,29.714285714285715,27.0,-2.5714285714285694,-9.285714285714285
353,0.99,2021-02-17,62.96,301,971,27.0,946.5714285714286,290.85714285714283,29.142857142857142,-16.0,-0.571428571428573,-6.428571428571427
354,0.99,2021-02-18,62.96,287,934,34.0,918.5714285714286,286.57142857142856,27.285714285714285,7.0,-1.8571428571428577,-7.285714285714285
355,1.0,2021-02-19,62.96,290,886,22.0,895.7142857142857,283.2857142857143,27.285714285714285,-12.0,0.0,-5.285714285714285
356,1.0,2021-02-20,62.96,280,840,25.0,876.5714285714286,279.14285714285717,25.428571428571427,3.0,-1.8571428571428577,-7.285714285714288
357,1.01,2021-02-21,62.96,273,827,24.0,855.7142857142857,272.85714285714283,25.857142857142858,-1.0,0.4285714285714306,-6.0
358,1.01,2021-02-22,62.96,266,853,16.0,840.1428571428571,268.57142857142856,25.285714285714285,-8.0,-0.571428571428573,-7.0
359,1.0,2021-02-23,62.96,257,825,30.0,831.4285714285714,263.85714285714283,26.428571428571427,14.0,1.1428571428571423,-3.2857142857142883
